Time,T001 - Far Splendour 1 Pitch [º],T001 - Far Splendour 1 Roll [º],T001 - Far Splendour 1 Rate of pitch [º/min],T001 - Far Splendour 1 Rate of roll [º/min],T001 - Far Splendour 1 Wave height significant [m],T001 - Far Splendour 1 Wind speed [m/s]
00:00:03.706,-0.00391377176559003,4.0507541938311E-10,-0.0098360226886138,-2.39891057037729E-09,0,0.0635510374829173
00:00:03.808,-0.00393200908771043,3.97734724026376E-10,-0.00665022422206695,-3.10451345832933E-09,0,0.0653001486063003
00:00:03.910,-0.00393200908771043,3.97734724026376E-10,-0.00665022422206695,-3.10451345832933E-09,0,0.0670492597296834
00:00:04.012,-0.00394466686565043,3.90979225882947E-10,-0.00269510282412167,-5.37600423706446E-09,0,0.0687983708530664
00:00:04.114,-0.00394466686565043,3.90979225882947E-10,-0.00269510282412167,-5.37600423706446E-09,0,0.0705474819764495
00:00:04.216,-0.00394633022348664,4.00409570513486E-10,0.00110500532874493,1.23369273256649E-08,0,0.0722965930998325
00:00:04.318,-0.0039376340719921,3.35777518831466E-10,0.00462566565227711,2.83660104986168E-08,0,0.0740457042232156
00:00:04.420,-0.0039376340719921,3.35777518831466E-10,0.00462566565227711,2.83660104986168E-08,0,0.0757948153465986
00:00:04.522,-0.00391954599350714,2.20269314464756E-10,0.00775665186636767,5.10319442043752E-08,0,0.0775439264699817
00:00:04.624,-0.00391954599350714,2.20269314464756E-10,0.00775665186636767,5.10319442043752E-08,0,0.0792930375933647
00:00:04.726,-0.00388722349063191,-5.64866511427921E-12,0.0108711573152809,7.73743615742277E-08,0,0.0810421487167478
00:00:04.828,-0.00388722349063191,-5.64866511427921E-12,0.0108711573152809,7.73743615742277E-08,0,0.0827912598401308
00:00:04.930,-0.003845779200084,-2.8823458745295E-10,0.0131740989074444,8.69282031673549E-08,0,0.0845403709635138
